,13.056888103485107
m,1.4259848594665527
m,1.101121187210083
m,1.1041011810302734
m,0.9995687007904053
m,1.105151891708374
m,0.9440031051635742
m,1.144711971282959
m,1.256728172302246
m,0.9821479320526123
z,1.1897478103637695
m,1.2373411655426025
m,1.353154182434082
z,1.2375988960266113
m,1.1250486373901367
z,1.0251340866088867
z,1.1617772579193115
m,0.7814481258392334
m,1.7054271697998047
m,1.7158010005950928
m,1.0211451053619385
z,0.6981959342956543
z,1.0290889739990234
z,1.0242300033569336
z,0.7351751327514648
m,0.7297930717468262
m,1.129896879196167
z,0.9461190700531006
z,0.819608211517334
z,0.8637819290161133
m,0.7538528442382812
m,1.1902871131896973
m,0.7358729839324951
z,1.399278163909912
z,0.9750640392303467
z,1.1317849159240723
z,0.8935642242431641
z,0.8739080429077148
z,2.673429012298584
z,1.3314502239227295
m,0.6423261165618896
z,2.5458810329437256
z,2.468075752258301
